Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 30_level_0_Matches
2021-2022,PrimeiraLiga,Porto,Diogo Costa,pt POR,GK,21.0,33.0,22.0,2.0,0.0,3.0,0.0,23.0,0.3,1.0,0.03,157.0,414.0,37.9,1059.0,133.0,33.8,33.8,165.0,33.9,35.4,283.0,21.0,7.4,42.0,1.27,18.0,Matches
2021-2022,PrimeiraLiga,Porto,Cláudio Ramos,pt POR,GK,29.0,1.0,,,,,,0.9,0.88,,,5.0,11.0,45.5,31.0,5.0,32.3,33.1,4.0,25.0,34.8,11.0,1.0,9.1,1.0,1.02,14.0,Matches
2021-2022,PrimeiraLiga,Porto,Agustín Marchesín,ar ARG,GK,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,6.0,33.3,8.0,0.0,50.0,47.0,2.0,100.0,65.0,2.0,0.0,0.0,0.0,0.0,,Matches
2021-2022,PrimeiraLiga,Porto,Francisco Meixedo,pt POR,GK,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,18.3,0.0,,,0.0,0.0,,0.0,0.0,,Matches
2021-2022,PrimeiraLiga,Porto,Squad Total,,,25.8,34.0,22.0,2.0,0.0,3.0,0.0,23.9,0.3,1.9,0.05,164.0,431.0,38.1,1101.0,138.0,33.8,33.8,171.0,34.5,35.7,296.0,22.0,7.4,43.0,1.26,17.9,
2021-2022,PrimeiraLiga,Porto,Opponent Total,,,25.9,34.0,86.0,6.0,1.0,8.0,3.0,83.2,0.35,0.2,0.01,228.0,599.0,38.1,918.0,213.0,43.5,37.3,362.0,55.2,42.4,463.0,21.0,4.5,26.0,0.76,12.8,
2021-2022,PrimeiraLiga,Sporting CP,Antonio Adán,es ESP,GK,34.0,33.0,23.0,1.0,1.0,1.0,2.0,23.7,0.28,2.7,0.08,97.0,246.0,39.4,909.0,122.0,22.2,28.4,189.0,23.3,28.0,302.0,14.0,4.6,36.0,1.09,15.1,Matches
2021-2022,PrimeiraLiga,Sporting CP,João Virgínia,pt POR,GK,21.0,0.9,,,,,,0.0,0.03,,,,3.0,,22.0,7.0,,24.2,2.0,,20.0,11.0,1.0,9.1,,,10.7,Matches
2021-2022,PrimeiraLiga,Sporting CP,André Paulo,pt POR,GK,24.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,22.0,1.0,100.0,43.0,1.0,0.0,0.0,0.0,0.0,17.0,Matches
2021-2022,PrimeiraLiga,Sporting CP,Squad Total,,,26.6,34.0,23.0,1.0,1.0,1.0,2.0,23.7,0.28,2.7,0.08,97.0,250.0,38.8,937.0,129.0,21.9,28.3,192.0,23.4,28.0,314.0,15.0,4.8,36.0,1.06,15.0,
2021-2022,PrimeiraLiga,Sporting CP,Opponent Total,,,26.0,34.0,73.0,9.0,0.0,10.0,2.0,73.7,0.33,2.7,0.08,196.0,584.0,33.6,941.0,159.0,43.9,37.6,317.0,53.9,43.0,608.0,22.0,3.6,52.0,1.53,15.8,
2021-2022,PrimeiraLiga,Benfica,Odisseas Vlachodimos,gr GRE,GK,27.0,32.0,30.0,1.0,1.0,6.0,1.0,32.8,0.31,3.8,0.12,70.0,195.0,35.9,790.0,172.0,19.2,27.9,207.0,20.8,29.3,356.0,11.0,3.1,28.0,0.88,14.2,Matches
2021-2022,PrimeiraLiga,Benfica,Helton Leite,br BRA,GK,30.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.4,2.0,0.99,1.0,9.0,11.1,29.0,5.0,20.7,29.3,14.0,21.4,30.3,22.0,0.0,0.0,3.0,1.5,15.0,Matches
