,Player,value,age,club,position
281,"
Koki Saito ",€3.00m ,22,Sparta Rotterdam,Delantero
282,"
Naci Ünüvar ",€2.50m ,20,Twente Enschede FC,Delantero
283,"
Othmane Boussaid ",€2.20m ,23,FC Utrecht,Delantero
284,"
Yoann Cathline ",€2.00m ,21,Almere City FC,Delantero
285,"
Ruben van Bommel ",€2.00m ,19,AZ Alkmaar,Delantero
286,"
Emil Hansson ",€2.00m ,25,Heracles Almelo,Delantero
287,"
Marko Lazetić ",€2.00m ,19,Fortuna Sittard,Delantero
288,"
Alexis Tibidi ",€2.00m ,20,NEC Nijmegen,Delantero
289,"
Marouan Azarkan ",€2.00m ,21,FC Utrecht,Delantero
290,"
Daan Rots ",€2.00m ,22,Twente Enschede FC,Delantero
291,"
Iñigo Córdoba ",€1.80m ,26,Fortuna Sittard,Delantero
292,"
Nico Serrano ",€1.50m ,20,PEC Zwolle,Delantero
293,"
Said Hamulic ",€1.50m ,22,Vitesse Arnhem,Delantero
294,"
Filip Stevanović ",€1.50m ,21,RKC Waalwijk,Delantero
295,"
Daniel Karlsbakk ",€1.50m ,20,SC Heerenveen,Delantero
296,"
Mexx Meerdink ",€1.50m ,20,AZ Alkmaar,Delantero
297,"
Elayis Tavsan ",€1.40m ,22,NEC Nijmegen,Delantero
298,"
Magnus Mattsson ",€1.30m ,24,NEC Nijmegen,Delantero
299,"
Oliver Valaker Edvardsen ",€1.30m ,24,Go Ahead Eagles,Delantero
300,"
Ole Romeny ",€1.30m ,23,FC Utrecht,Delantero
301,"
Bas Dost ",€1.30m ,34,NEC Nijmegen,Delantero
302,"
Willum Thór Willumsson ",€1.30m ,25,Go Ahead Eagles,Delantero
303,"
Sontje Hansen ",€1.20m ,21,NEC Nijmegen,Delantero
304,"
Mats Seuntjens ",€1.20m ,31,FC Utrecht,Delantero
305,"
Kaj Sierhuis ",€1.20m ,25,Fortuna Sittard,Delantero
306,"
Mitchell van Bergen ",€1.20m ,24,Twente Enschede FC,Delantero
307,"
Koki Ogawa ",€1.20m ,26,NEC Nijmegen,Delantero
308,"
Victor Edvardsen ",€1.20m ,27,Go Ahead Eagles,Delantero
309,"
Mika Godts ",€1.00m ,18,Ajax Amsterdam,Delantero
310,"
Amine Boutrah ",€1.00m ,23,Vitesse Arnhem,Delantero
311,"
Ion Nicolaescu ",€1.00m ,25,SC Heerenveen,Delantero
312,"
Jason van Duiven ",€1.00m ,18,PSV Eindhoven,Delantero
313,"
Ferdy Druijf ",€1.00m ,25,PEC Zwolle,Delantero
314,"
Tijjani Noslin ",€900k ,24,Fortuna Sittard,Delantero
315,"
Ernest Poku ",€900k ,19,AZ Alkmaar,Delantero
316,"
Oscar Uddenäs ",€900k ,21,Excelsior Rotterdam,Delantero
317,"
Nikolai Laursen ",€900k ,25,Heracles Almelo,Delantero
318,"
Couhaib Driouech ",€900k ,21,Excelsior Rotterdam,Delantero
319,"
Yann Kitala ",€900k ,25,Almere City FC,Delantero
320,"
Lars Olden Larsen ",€900k ,25,NEC Nijmegen,Delantero
321,"
Bobby Adekanye ",€800k ,24,Go Ahead Eagles,Delantero
322,"
Thibo Baeten ",€800k ,21,Go Ahead Eagles,Delantero
323,"
Garang Kuol ",€800k ,19,FC Volendam,Delantero
324,"
Nikolas Agrafiotis ",€800k ,23,Excelsior Rotterdam,Delantero
325,"
Isac Lidberg ",€750k ,25,FC Utrecht,Delantero
326,"
Bryan Limbombe ",€700k ,22,Heracles Almelo,Delantero
327,"
Mohamed Sankoh ",€700k ,20,Heracles Almelo,Delantero
328,"
Ché Nunnely ",€700k ,24,SC Heerenveen,Delantero
329,"
Ricky van Wolfswinkel ",€650k ,34,Twente Enschede FC,Delantero
330,"
Thomas Buitink ",€650k ,23,Vitesse Arnhem,Delantero
331,"
Lennart Thy ",€600k ,31,PEC Zwolle,Delantero
332,"
Lazaros Lamprou ",€600k ,25,Excelsior Rotterdam,Delantero
333,"
Camiel Neghli ",€600k ,22,Sparta Rotterdam,Delantero
334,"
Joel Voelkerling Persson ",€600k ,20,Vitesse Arnhem,Delantero
335,"
Jizz Hornkamp ",€600k ,25,Heracles Almelo,Delantero
336,"
Iman Griffith ",€600k ,21,Fortuna Sittard,Delantero
337,"
Charles-Andreas Brym ",€550k ,25,Sparta Rotterdam,Delantero
338,"
Agustín Anello ",€550k ,21,Sparta Rotterdam,Delantero
339,"
Sylla Sow ",€550k ,27,Go Ahead Eagles,Delantero
340,"
Derensili Sanches Fernandes ",€500k ,22,Excelsior Rotterdam,Delantero
341,"
Bilal Ould-Chikh ",€500k ,26,FC Volendam,Delantero
342,"
Anthony Descotte ",€500k ,20,FC Utrecht,Delantero
343,"
Denilho Cleonise ",€500k ,21,RKC Waalwijk,Delantero
344,"
Amourricho van Axel Dongen ",€500k ,19,Ajax Amsterdam,Delantero
345,"
Finn Stokkers ",€450k ,27,Go Ahead Eagles,Delantero
346,"
Richie Omorowa ",€450k ,19,Excelsior Rotterdam,Delantero
347,"
Ragnar Oratmangoen ",€450k ,25,Fortuna Sittard,Delantero
348,"
Jakob Breum ",€450k ,19,Go Ahead Eagles,Delantero
349,"
Mouhamed Belkheir ",€400k ,24,Fortuna Sittard,Delantero
